2017-02-15 20:19:44 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:19:44 status unpacked debconf:all 1.5.58ubuntu1
2017-02-15 20:19:44 install debianutils:amd64 <none> 4.7
2017-02-15 20:19:44 status half-installed debianutils:amd64 4.7
2017-02-15 20:19:44 status unpacked debianutils:amd64 4.7
2017-02-15 20:19:44 status unpacked debianutils:amd64 4.7
2017-02-15 20:19:44 install diffutils:amd64 <none> 1:3.3-3
2017-02-15 20:19:44 status half-installed diffutils:amd64 1:3.3-3
2017-02-15 20:19:44 status unpacked diffutils:amd64 1:3.3-3
2017-02-15 20:19:45 status unpacked diffutils:amd64 1:3.3-3
2017-02-15 20:19:45 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:19:45 status half-configured dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 status half-installed dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 status half-installed dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:45 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2017-02-15 20:19:45 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2017-02-15 20:19:45 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:45 install findutils:amd64 <none> 4.6.0+git+20160126-2
2017-02-15 20:19:45 status half-installed findutils:amd64 4.6.0+git+20160126-2
2017-02-15 20:19:45 status unpacked findutils:amd64 4.6.0+git+20160126-2
2017-02-15 20:19:45 status unpacked findutils:amd64 4.6.0+git+20160126-2
2017-02-15 20:19:45 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2017-02-15 20:19:45 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2017-02-15 20:19:45 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2017-02-15 20:19:45 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2017-02-15 20:19:45 install grep:amd64 <none> 2.24-1
2017-02-15 20:19:45 status half-installed grep:amd64 2.24-1
2017-02-15 20:19:45 status unpacked grep:amd64 2.24-1
2017-02-15 20:19:45 status unpacked grep:amd64 2.24-1
2017-02-15 20:19:45 install gzip:amd64 <none> 1.6-4ubuntu1
2017-02-15 20:19:45 status half-installed gzip:amd64 1.6-4ubuntu1
2017-02-15 20:19:45 status unpacked gzip:amd64 1.6-4ubuntu1
2017-02-15 20:19:46 status unpacked gzip:amd64 1.6-4ubuntu1
2017-02-15 20:19:46 install hostname:amd64 <none> 3.16ubuntu2
2017-02-15 20:19:46 status half-installed hostname:amd64 3.16ubuntu2
2017-02-15 20:19:46 status unpacked hostname:amd64 3.16ubuntu2
2017-02-15 20:19:46 status unpacked hostname:amd64 3.16ubuntu2
2017-02-15 20:19:46 install init:amd64 <none> 1.29ubuntu1
2017-02-15 20:19:46 status half-installed init:amd64 1.29ubuntu1
2017-02-15 20:19:46 status unpacked init:amd64 1.29ubuntu1
2017-02-15 20:19:46 status unpacked init:amd64 1.29ubuntu1
2017-02-15 20:19:46 install init-system-helpers:all <none> 1.29ubuntu1
2017-02-15 20:19:46 status half-installed init-system-helpers:all 1.29ubuntu1
2017-02-15 20:19:46 status unpacked init-system-helpers:all 1.29ubuntu1
2017-02-15 20:19:46 status unpacked init-system-helpers:all 1.29ubuntu1
2017-02-15 20:19:46 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2017-02-15 20:19:46 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2017-02-15 20:19:46 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2017-02-15 20:19:46 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2017-02-15 20:19:46 install insserv:amd64 <none> 1.14.0-5ubuntu3
2017-02-15 20:19:46 status half-installed insserv:amd64 1.14.0-5ubuntu3
2017-02-15 20:19:46 status unpacked insserv:amd64 1.14.0-5ubuntu3
2017-02-15 20:19:46 status unpacked insserv:amd64 1.14.0-5ubuntu3
2017-02-15 20:19:46 install libacl1:amd64 <none> 2.2.52-3
2017-02-15 20:19:46 status half-installed libacl1:amd64 2.2.52-3
2017-02-15 20:19:46 status unpacked libacl1:amd64 2.2.52-3
2017-02-15 20:19:46 status unpacked libacl1:amd64 2.2.52-3
2017-02-15 20:19:46 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2017-02-15 20:19:46 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2017-02-15 20:19:46 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2017-02-15 20:19:46 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2017-02-15 20:19:46 install libattr1:amd64 <none> 1:2.4.47-2
2017-02-15 20:19:46 status half-installed libattr1:amd64 1:2.4.47-2
2017-02-15 20:19:46 status unpacked libattr1:amd64 1:2.4.47-2
2017-02-15 20:19:46 status unpacked libattr1:amd64 1:2.4.47-2
2017-02-15 20:19:46 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 install libaudit1:amd64 <none> 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status half-installed libaudit1:amd64 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 status unpacked libaudit1:amd64 1:2.4.5-1ubuntu2
2017-02-15 20:19:46 install libblkid1:amd64 <none> 2.27.1-6ubuntu3
2017-02-15 20:19:46 status half-installed libblkid1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:46 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:46 status unpacked libblkid1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:46 install libbz2-1.0:amd64 <none> 1.0.6-8
2017-02-15 20:19:46 status half-installed libbz2-1.0:amd64 1.0.6-8
2017-02-15 20:19:46 status unpacked libbz2-1.0:amd64 1.0.6-8
2017-02-15 20:19:46 status unpacked libbz2-1.0:amd64 1.0.6-8
2017-02-15 20:19:46 install libc-bin:amd64 <none> 2.23-0ubuntu3
2017-02-15 20:19:46 status half-installed libc-bin:amd64 2.23-0ubuntu3
2017-02-15 20:19:46 status unpacked libc-bin:amd64 2.23-0ubuntu3
2017-02-15 20:19:46 status unpacked libc-bin:amd64 2.23-0ubuntu3
2017-02-15 20:19:46 upgrade libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2017-02-15 20:19:46 status half-configured libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:46 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:46 status half-installed libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:50 status half-installed libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:50 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:50 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:50 install libcap2:amd64 <none> 1:2.24-12
2017-02-15 20:19:50 status half-installed libcap2:amd64 1:2.24-12
2017-02-15 20:19:50 status unpacked libcap2:amd64 1:2.24-12
2017-02-15 20:19:50 status unpacked libcap2:amd64 1:2.24-12
2017-02-15 20:19:50 install libcap2-bin:amd64 <none> 1:2.24-12
2017-02-15 20:19:50 status half-installed libcap2-bin:amd64 1:2.24-12
2017-02-15 20:19:50 status unpacked libcap2-bin:amd64 1:2.24-12
2017-02-15 20:19:50 status unpacked libcap2-bin:amd64 1:2.24-12
2017-02-15 20:19:50 install libcomerr2:amd64 <none> 1.42.13-1ubuntu1
2017-02-15 20:19:50 status half-installed libcomerr2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:50 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:50 status unpacked libcomerr2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:50 install libcryptsetup4:amd64 <none> 2:1.6.6-5ubuntu2
2017-02-15 20:19:50 status half-installed libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-02-15 20:19:50 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-02-15 20:19:50 status unpacked libcryptsetup4:amd64 2:1.6.6-5ubuntu2
2017-02-15 20:19:50 install libdb5.3:amd64 <none> 5.3.28-11
2017-02-15 20:19:50 status half-installed libdb5.3:amd64 5.3.28-11
2017-02-15 20:19:50 status unpacked libdb5.3:amd64 5.3.28-11
2017-02-15 20:19:50 status unpacked libdb5.3:amd64 5.3.28-11
2017-02-15 20:19:50 install libdebconfclient0:amd64 <none> 0.198ubuntu1
2017-02-15 20:19:50 status half-installed libdebconfclient0:amd64 0.198ubuntu1
2017-02-15 20:19:50 status unpacked libdebconfclient0:amd64 0.198ubuntu1
